"Time","Bare Soil","Cardboard Mulch"
2023-07-03 12:08:52,12.5 %,9.70 %
2023-07-03 12:23:59,12.4 %,9.70 %
2023-07-03 12:39:06,12.5 %,9.60 %
2023-07-03 12:54:11,12.5 %,9.70 %
2023-07-03 13:09:22,12.3 %,9.50 %
2023-07-03 13:24:31,12.3 %,9.40 %
2023-07-03 13:39:30,12.3 %,9.40 %
2023-07-03 13:54:26,12.2 %,9.40 %
2023-07-03 13:55:42,12.2 %,9.30 %
2023-07-03 15:16:45,12.1 %,9.10 %
2023-07-03 15:18:58,12.1 %,9.20 %
2023-07-03 15:34:03,12 %,9.30 %
2023-07-03 15:49:09,11.9 %,9.10 %
2023-07-03 16:04:16,11.9 %,9.10 %
2023-07-03 16:19:26,11.9 %,9.20 %
2023-07-03 16:34:33,11.9 %,9.10 %
2023-07-03 16:49:39,12 %,9.10 %
2023-07-03 17:04:45,11.8 %,9.10 %
2023-07-03 17:19:56,11.8 %,9.10 %
2023-07-03 17:35:02,11.8 %,9 %
2023-07-03 17:50:08,11.9 %,9 %
2023-07-03 18:05:13,11.8 %,8.90 %
2023-07-03 18:20:24,11.8 %,8.90 %
2023-07-03 18:35:30,11.8 %,8.80 %
2023-07-03 18:50:36,11.8 %,8.80 %
2023-07-03 19:05:42,11.8 %,8.80 %
2023-07-03 19:20:47,11.9 %,8.80 %
2023-07-03 19:35:47,11.9 %,8.90 %
2023-07-03 20:48:08,11.9 %,8.80 %
2023-07-03 20:48:54,11.9 %,8.80 %
2023-07-03 21:04:02,11.9 %,8.80 %
2023-07-03 21:19:02,11.9 %,8.90 %
2023-07-03 23:00:40,11.9 %,8.80 %
2023-07-03 23:02:11,11.9 %,8.90 %
2023-07-03 23:17:18,11.9 %,8.80 %
2023-07-03 23:32:25,11.9 %,8.80 %
2023-07-03 23:47:32,11.9 %,8.80 %
2023-07-04 00:02:42,12 %,8.80 %
2023-07-04 00:17:49,11.9 %,8.80 %
2023-07-04 00:32:55,11.9 %,8.90 %
2023-07-04 00:48:02,12 %,8.90 %
2023-07-04 01:03:09,12 %,8.80 %
2023-07-04 01:18:18,12.1 %,8.90 %
2023-07-04 01:33:19,12.1 %,8.80 %
2023-07-04 01:48:26,12 %,8.90 %
2023-07-04 02:03:32,12 %,8.80 %
2023-07-04 02:18:31,12.1 %,8.80 %
2023-07-04 04:31:55,12.1 %,8.90 %
2023-07-04 04:33:16,12.1 %,8.90 %
2023-07-04 04:48:15,12.1 %,8.90 %
2023-07-04 06:44:25,12 %,8.90 %
2023-07-04 06:45:31,12.1 %,8.90 %
2023-07-04 07:00:37,12 %,8.90 %
2023-07-04 07:15:43,12.1 %,8.90 %
2023-07-04 07:30:50,12 %,8.80 %
2023-07-04 07:45:49,12 %,8.80 %
2023-07-04 08:01:00,12 %,8.80 %
2023-07-04 08:15:59,12 %,9 %
2023-07-04 10:03:14,11.9 %,8.70 %
2023-07-04 10:04:33,11.9 %,8.70 %
2023-07-04 10:19:39,11.9 %,8.70 %
2023-07-04 10:34:44,17.4 %,26.1 %
2023-07-04 10:49:51,33.5 %,28.9 %
2023-07-04 11:04:50,33.4 %,26.8 %
2023-07-04 11:20:01,32.3 %,24.7 %
2023-07-04 11:35:06,31.3 %,23.9 %
2023-07-04 11:50:13,30.8 %,23.5 %
2023-07-04 12:05:18,30.2 %,22.9 %
2023-07-04 12:20:18,29.9 %,22.5 %
2023-07-04 12:35:30,29.6 %,21.8 %
2023-07-04 12:50:35,29.3 %,21.7 %
2023-07-04 13:05:42,29.2 %,21.3 %
2023-07-04 13:20:49,29 %,21.2 %
2023-07-04 13:36:00,28.9 %,21.1 %
2023-07-04 13:51:05,28.9 %,21.1 %
2023-07-04 14:06:11,28.6 %,20.8 %
2023-07-04 14:21:11,28.4 %,20.7 %
2023-07-04 14:36:17,28.3 %,20.8 %
2023-07-04 14:51:29,28.1 %,20.5 %
2023-07-04 15:06:35,27.9 %,20.4 %
2023-07-04 15:21:43,27.8 %,20.3 %
2023-07-04 15:36:49,27.7 %,20.3 %
2023-07-04 15:51:56,27.4 %,20.1 %
2023-07-04 16:07:09,27.2 %,20.2 %
2023-07-04 16:22:14,27.1 %,19.9 %
2023-07-04 16:37:22,27 %,19.9 %
2023-07-04 16:52:27,26.9 %,19.8 %
2023-07-04 17:07:38,26.8 %,19.6 %
2023-07-04 17:22:45,26.6 %,19.7 %
2023-07-04 17:37:52,26.6 %,19.7 %
2023-07-04 17:52:52,26.6 %,19.4 %
2023-07-04 19:59:39,26.1 %,19.1 %
2023-07-04 20:01:52,26.1 %,19.3 %
2023-07-04 20:16:58,26.3 %,19.2 %
2023-07-04 20:32:05,26.2 %,19.2 %
2023-07-04 20:47:11,26.1 %,19.1 %
2023-07-04 21:02:23,26.1 %,19.4 %
2023-07-04 21:17:22,26 %,19 %
2023-07-04 21:32:23,26 %,19 %
2023-07-04 23:18:25,26 %,18.9 %
2023-07-04 23:20:18,26 %,18.9 %
2023-07-04 23:35:17,25.8 %,18.9 %
2023-07-04 23:50:25,26 %,19 %
2023-07-05 00:05:25,25.9 %,18.9 %
2023-07-05 01:30:55,25.8 %,18.8 %
2023-07-05 01:31:55,25.9 %,18.8 %
2023-07-05 01:47:02,25.8 %,18.8 %
2023-07-05 02:02:08,25.9 %,18.8 %
2023-07-05 02:17:14,25.8 %,18.6 %
2023-07-05 02:32:24,25.8 %,18.5 %
2023-07-05 02:47:34,26 %,18.7 %
2023-07-05 03:02:40,25.7 %,18.7 %
2023-07-05 03:17:46,25.8 %,18.6 %
2023-07-05 03:32:51,25.8 %,18.7 %
2023-07-05 03:47:57,25.8 %,18.6 %
2023-07-05 04:03:08,25.7 %,18.6 %
2023-07-05 04:18:14,25.8 %,18.5 %
2023-07-05 04:33:20,25.7 %,18.5 %
2023-07-05 04:48:26,25.8 %,18.6 %
2023-07-05 05:03:32,25.7 %,18.7 %
2023-07-05 05:18:43,25.8 %,18.6 %
2023-07-05 05:33:49,25.7 %,18.6 %
2023-07-05 05:48:55,25.6 %,18.6 %
2023-07-05 06:04:02,25.7 %,18.5 %
2023-07-05 06:19:07,25.7 %,18.6 %
2023-07-05 06:34:18,25.7 %,18.4 %
2023-07-05 06:49:18,25.6 %,18.4 %
2023-07-05 07:04:24,25.6 %,18.5 %
2023-07-05 07:19:32,25.6 %,18.5 %
2023-07-05 07:34:38,25.6 %,18.4 %
2023-07-05 07:49:49,25.5 %,18.4 %
2023-07-05 08:04:59,25.4 %,18.4 %
2023-07-05 08:20:04,25.4 %,18.3 %
2023-07-05 08:35:12,25.2 %,18.2 %
2023-07-05 08:50:19,25.2 %,18.2 %
2023-07-05 09:05:29,25 %,18.1 %
2023-07-05 09:20:37,24.9 %,18.2 %
2023-07-05 09:35:44,24.7 %,18.1 %
2023-07-05 09:50:51,24.6 %,18.1 %
2023-07-05 10:05:58,24.5 %,18 %
2023-07-05 10:20:58,24.2 %,18 %
2023-07-05 10:36:03,24 %,17.8 %
2023-07-05 10:51:09,23.9 %,17.8 %
2023-07-05 11:06:17,23.7 %,17.8 %
2023-07-05 11:21:28,23.4 %,17.7 %
2023-07-05 11:36:27,23.3 %,17.6 %
2023-07-05 11:51:34,23.1 %,17.6 %
2023-07-05 12:06:40,22.9 %,17.6 %
2023-07-05 12:21:52,22.7 %,17.6 %
2023-07-05 12:36:57,22.5 %,17.3 %
2023-07-05 12:52:04,22.3 %,17.1 %
2023-07-05 13:07:02,21.9 %,17.1 %
2023-07-05 13:22:14,21.9 %,17 %
2023-07-05 13:37:20,21.7 %,17 %
2023-07-05 13:52:27,21.4 %,16.8 %
2023-07-05 14:07:33,21.4 %,16.8 %
2023-07-05 14:22:40,21.3 %,16.8 %
2023-07-05 14:37:49,21.2 %,16.7 %
2023-07-05 14:52:57,21.2 %,16.7 %
2023-07-05 15:08:04,21.1 %,16.6 %
2023-07-05 15:23:10,21 %,16.5 %
2023-07-05 15:38:17,20.9 %,16.5 %
2023-07-05 15:53:26,20.8 %,16.4 %
2023-07-05 16:08:26,20.8 %,16.2 %
2023-07-05 16:23:33,20.7 %,16.2 %
2023-07-05 16:38:39,20.5 %,16.4 %
2023-07-05 16:53:46,20.6 %,16.3 %
2023-07-05 17:08:46,20.4 %,16.4 %
2023-07-05 19:11:05,20.2 %,16.2 %
2023-07-05 19:12:16,20.2 %,16.2 %
2023-07-05 19:27:22,20.3 %,16 %
2023-07-05 19:42:28,20.3 %,16.2 %
2023-07-05 19:57:36,20.2 %,16.2 %
2023-07-05 20:12:47,20.2 %,16 %
2023-07-05 20:27:54,20.2 %,16.2 %
2023-07-05 20:42:54,20 %,16 %
2023-07-05 22:29:50,20.2 %,16.1 %
2023-07-05 22:31:19,20.2 %,16 %
2023-07-05 22:46:27,20.2 %,16 %
2023-07-05 23:01:32,20.2 %,16.2 %
2023-07-05 23:16:39,20.2 %,16.2 %
2023-07-05 23:31:50,20.2 %,16.2 %
2023-07-05 23:46:58,20.2 %,16 %
2023-07-06 00:02:05,20.2 %,16 %
2023-07-06 00:17:12,20.2 %,16 %
2023-07-06 00:32:17,20.3 %,16.2 %
2023-07-06 00:47:28,20.3 %,16.1 %
2023-07-06 01:02:34,20.2 %,16 %
2023-07-06 01:17:42,20.4 %,16.1 %
2023-07-06 01:32:47,20.3 %,16.2 %
2023-07-06 01:47:53,20.2 %,16.2 %
2023-07-06 02:03:04,20.3 %,16.1 %
2023-07-06 02:18:16,20.3 %,16 %
2023-07-06 02:33:27,20.3 %,16.1 %
2023-07-06 02:48:27,20.3 %,16.2 %
2023-07-06 03:03:35,20.4 %,16.1 %
2023-07-06 03:18:40,20.3 %,16 %
2023-07-06 03:33:46,20.3 %,16 %
2023-07-06 03:48:58,20.3 %,16 %
2023-07-06 04:04:03,20.3 %,16.2 %
2023-07-06 04:19:09,20.3 %,16 %
2023-07-06 04:34:17,20.3 %,16.2 %
2023-07-06 04:49:22,20.3 %,16.1 %
